Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,15pF,
"C10, C101, C11, C13, C14, C15, C19, C2, C21, C26, C30, C31, C36, C39, C43, C44, C49, C59, C60, C66, C79, C98",0805,22,10uF,
"C100, C96, C99",0402,3,0.1uF,
"C102, C23, C25, C3, C33, C40, C42, C47, C5, C51, C56, C57, C6, C61, C69, C7, C70, C72, C73, C74, C75, C76, C77, C78, C8, C81, C82, C86, C88, C9",0402,30,0.1uF,
"C103, C104, C37, C38, C45, C46, C50, C52, C53, C62, C63, C65, C83, C84, C85, C91, C93",0805,17,22uF,
"C105, C27, C28, C29, C80",0603,5,4.7uF,
"C12, C97",CP_EIA-3528-21_Kemet-B,2,100uF,
"C16, C17",CP_EIA-6032-28_Kemet-C,2,470uF,
"C18, C20",0402,2,100pF,
"C22, C32",0402,2,22pF,
"C24, C41, C71",0402,3,100nF,
"C309, C312",0805,2,10uF,CL21A106KBYQNNE
C310,0603,1,2.2uF,
C311,0402,1,220pF,
"C34, C35",0402,2,33pF,
"C48, C58",CP_EIA-3528-21_Kemet-B,2,100uF,
C64,0603,1,0.1uF,
"C67, C68",0402,2,1uF,
C87,0603,1,2.2uF,
C90,0402,1,8.2nF,
C92,0402,1,1nF,
C94,0402,1,47pF,
C95,0402,1,1uF,
"D1, D11, D12, D13, D14, D15, D16, D17, D18, D20, D21, D22, D25, D26, D27, D30, D31, D32, D33, D35, D36, D37, D40, D41, D42, D43, D45, D46, D47, D48, D50, D51, D52, D53, D6, D7, D77, D8, D81, D9",D_SOD-882D,40,D,"BAS16L,315"
D10,D_SOD-128,1,"PMEG4030EP,115",
D19,LED-SMD_XL-1606,1,LD1,
D2,D_SOD-123,1,"PMEG2010ER,115",
D23,LED-SMD_XL-1606,1,LD2,
D24,LED-SMD_XL-1606,1,LD3,
D28,LED-SMD_XL-1606,1,LD4,
"D29, D34, D38, D39, D44, D49, D54, D55, D56, D57, D58, D59, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D70, D71, D72, D73, D74, D76, D78, D79, D80, D82, D83, D84, D85, D86, D87",0402,37,LED,
D3,LED-SMD_XL-1606,1,Pi ACT,
D4,LED-SMD_XL-1606,1,RPI PWR,
D75,SOT-323_SC-70,1,BAT54CW,
D88,LED-SMD_XL-1606,1,PCIe ACT,
D89,D_SOD-128,1,PMEG4050EP,
F1,0805,1,200mA,
H5,MountingHole_2.7mm_M2.5_DIN965_Pad_TopBottom,1,KEY,
J1,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,SPK_L,
J10,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,BAT+,
J11,AUDIO-SMD_PJ-3420-A-SMT_C319102,1,HEADPHONE,
J12,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,BAT-,
J13,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE C,
